iter	Passed	Remaining
937	842299	55674
938	843088	54769
939	843865	53863
940	844729	52963
941	845559	52062
942	846493	51166
943	847339	50265
944	848259	49369
945	849139	48470
946	850069	47575
947	850985	46678
948	852029	45788
949	852912	44890
950	853821	43992
951	854554	43086
952	855316	42182
953	856122	41280
954	856941	40379
955	857719	39476
956	858448	38571
957	859280	37672
958	860176	36774
959	860929	35872
960	861960	34980
961	862844	34083
962	863744	33186
963	864582	32287
964	865534	31392
965	866412	30494
966	867069	29589
967	867811	28687
968	868579	27787
969	869404	26888
970	870332	25993
971	871186	25095
972	871887	24194
973	872768	23297
974	873515	22397
975	874345	21500
976	875180	20603
977	876014	19705
978	876996	18811
979	877914	17916
980	878745	17019
981	879504	16121
982	880535	15227
983	881364	14331
984	882238	13435
985	883237	12540
986	884282	11647
987	885050	10749
988	885849	9852
989	886562	8955
990	887371	8058
991	888266	7163
992	888987	6266
993	889791	5370
994	890785	4476
995	891558	3580
996	892323	2685
997	893370	1790
998	894174	895
999	895146	0
